VCF_ID	Breed	Sex	white_head	white_chest
AfghanHound01	Afghan Hound	M	1	2
AfghanHound03	Afghan Hound	F	NA	NA
AfghanHound04	Afghan Hound	M	1	2
AiredaleTerrier01	Airedale Terrier	M	1	1
AiredaleTerrier02	Airedale Terrier	F	1	1
AiredaleTerrier05	Airedale Terrier	M	1	1
TA001	Airedale Terrier	M	1	1
AlaskanHusky01	Alaskan Husky	M	2	2
AlaskanHusky02	Alaskan Husky	M	2	2
AM007	Alaskan Malamute	M	NA	2
AlaskanMalamute01	Alaskan Malamute	F	NA	2
AlaskanMalamute02	Alaskan Malamute	F	NA	2
Bern_AlpineDachsbracke	Alpine Dachsbracke	M	1	1
AmericanHairlessTerrier01	American Hairless Terrier	F	NA	2
AndeanFox01	Andean Fox	F	NA	NA
AC023	Australian Cattle Dog	M	2	1
AustralianCattleDog01	Australian Cattle Dog	F	2	1
AustralianCattleDog02	Australian Cattle Dog	F	NA	NA
AustralianCattleDog03	Australian Cattle Dog	F	2	1
AR001	Australian Terrier	M	1	1
CFA.118003	Basenji	M	1	2
Basenji01	Basenji	M	NA	NA
Basenji02	Basenji	F	1	2
Basenji03	Basenji	F	1	2
BG064	Bavarian Hound (Bayerischer Gebirgsschweisshund)	M	1	1
CFA.117995	Beagle	M	2	2
Beagle01	Beagle	M	2	2
Beagle02	Beagle	F	2	2
Beagle03	Beagle	F	NA	NA
Beagle04	Beagle	F	2	2
BeardedCollie01	Bearded Collie	F	2	2
BeardedCollie02	Bearded Collie	M	2	2
BeardedCollie03	Bearded Collie	M	2	2
BeardedCollie04	Bearded Collie	F	2	2
BeardedCollie05	Bearded Collie	M	NA	NA
BeardedCollie06	Bearded Collie	M	NA	NA
BeardedCollie07	Bearded Collie	M	NA	NA
BelgianMalinois01	Belgian Malinois	F	NA	NA
BelgianMalinois02	Belgian Malinois	F	NA	NA
BelgianMalinois03	Belgian Malinois	F	NA	NA
MA0163	Belgian Malinois	F	1	1
MA142	Belgian Malinois	M	1	1
BelgianSheepdog01	Belgian Sheepdog	F	1	1
BelgianSheepdog02	Belgian Sheepdog	M	NA	NA
BelgianSheepdog03	Belgian Sheepdog	F	1	1
BelgianSheepdog04	Belgian Sheepdog	F	NA	NA
BelgianSheepdog05	Belgian Sheepdog	M	1	1
BelgianSheepdog06	Belgian Sheepdog	M	1	1
BelgianSheepdog07	Belgian Sheepdog	F	NA	NA
BelgianTervuren01	Belgian Tervuren	F	1	NA
BelgianTervuren02	Belgian Tervuren	M	NA	NA
BelgianTervuren03	Belgian Tervuren	F	NA	NA
BelgianTervuren05	Belgian Tervuren	F	NA	NA
BelgianTervuren06	Belgian Tervuren	M	1	NA
BelgianTervuren07	Belgian Tervuren	F	NA	NA
BelgianTervuren08	Belgian Tervuren	M	1	NA
BelgianTervuren09	Belgian Tervuren	M	NA	NA
BelgianTervuren10	Belgian Tervuren	F	NA	NA
BelgianTervuren11	Belgian Tervuren	F	1	NA
BelgianTervuren04	Belgian Tervuren - See Other_Information	M	NA	NA
BergerBlancSuisse01	Berger Blanc Suisse	M	2	2
CFA.109670	Berger Picard	M	1	2
BergerPicard01	Berger Picard	F	1	2
BergerPicard02	Berger Picard	F	1	2
BergerPicard03	Berger Picard	F	1	2
BerneseMountainDog01	Bernese Mountain Dog	F	2	2
BerneseMountainDog02	Bernese Mountain Dog	F	2	2
BerneseMountainDog03	Bernese Mountain Dog	M	NA	NA
BerneseMountainDog04	Bernese Mountain Dog	M	NA	NA
BerneseMountainDog05	Bernese Mountain Dog	F	NA	NA
BerneseMountainDog06	Bernese Mountain Dog	F	NA	NA
BerneseMountainDog07	Bernese Mountain Dog	F	NA	NA
BerneseMountainDog08	Bernese Mountain Dog	F	NA	NA
BerneseMountainDog09	Bernese Mountain Dog	M	NA	NA
BerneseMountainDog10	Bernese Mountain Dog	F	NA	NA
BerneseMountainDog11	Bernese Mountain Dog	M	2	2
BerneseMountainDog12	Bernese Mountain Dog	F	NA	NA
BerneseMountainDog13	Bernese Mountain Dog	F	NA	NA
BerneseMountainDog14	Bernese Mountain Dog	F	NA	NA
BerneseMountainDog15	Bernese Mountain Dog	M	NA	NA
BerneseMountainDog16	Bernese Mountain Dog	F	NA	NA
BerneseMountainDog17	Bernese Mountain Dog	F	NA	NA
BerneseMountainDog18	Bernese Mountain Dog	F	NA	NA
Coonhound01	Black and Tan Coonhound	F	1	1
BlackRussianTerrier01	Black Russian Terrier	F	1	1
Bloodhound01	Bloodhound	F	1	1
BorderCollie06	Border Collie	F	NA	NA
BC0480	Border Collie	F	2	2
Helsinki_BC1028	Border Collie	M	2	2
Helsinki_BC1029	Border Collie	F	NA	NA
Helsinki_BC222	Border Collie	M	NA	NA
Helsinki_BC387	Border Collie	M	NA	NA
BC485	Border Collie	M	NA	NA
BC518	Border Collie	F	NA	NA
Helsinki_BC578	Border Collie	M	NA	NA
BC597	Border Collie	M	NA	NA
BorderCollie01	Border Collie	F	NA	NA
BorderCollie02	Border Collie	M	NA	NA
BorderCollie03	Border Collie	M	2	2
BorderCollie07	Border Collie	F	NA	NA
BorderCollie08	Border Collie	F	2	2
CFA.107838	Border Terrier	M	1	NA
BorderTerrier01	Border Terrier	F	1	NA
BorderTerrier02	Border Terrier	F	1	NA
BorderTerrier03	Border Terrier	M	1	NA
Borzoi01	Borzoi	F	2	2
BostonTerrier01	Boston Terrier	F	2	2
BouvierDesFlandres01	Bouvier des Flandres	F	1	1
CFA.107836	Bouvier des Flandres	M	1	1
BouvierDesFlandres02	Bouvier des Flandres	M	1	1
Boxer01	Boxer	F	2	2
BrittanySpaniel01	Brittany	M	2	2
BT1021	Bull Terrier	F	2	2
BullTerrier01	Bull Terrier	F	2	2
BullTerrier02	Bull Terrier	M	NA	NA
BullTerrier03	Bull Terrier	M	2	2
BullTerrier04	Bull Terrier	M	NA	NA
BullTerrier05	Bull Terrier	M	2	2
BullTerrier06	Bull Terrier	F	NA	NA
BullTerrier07	Bull Terrier	M	NA	NA
BullTerrier08	Bull Terrier	M	NA	NA
BT007	Miniature Bull Terrier 	M	2	2
Bulldog01	Bulldog	F	2	2
BU002	Bullmastiff	M	1	1
CE073	Cairn Terrier	F	1	NA
CaneCorso01	Cane Corso	F	1	2
CarolinaDog01	Carolina Dog	F	NA	NA
CaucasianOvcharka01	Caucasian Ovcharka	F	NA	2
CK006	Cavalier King Charles Spaniel	F	2	2
CK023	Cavalier King Charles Spaniel	F	2	2
CFA.109671	Chesapeake Bay Retriever	M	NA	NA
Chihuahua01	Chihuahua	F	NA	2
Chihuahua03	Chihuahua	M	NA	2
Chihuahua05	Chihuahua	M	NA	2
ChineseCrested01	Chinese Crested	M	2	NA
ChineseCrested05	Chinese Crested	M	2	NA
ChineseIndigenousDog01	Chinese Indigenous Dog	F	NA	NA
ChineseIndigenousDog02	Chinese Indigenous Dog	M	NA	NA
ChineseIndigenousDog03	Chinese Indigenous Dog	F	NA	NA
ChineseIndigenousDog04	Chinese Indigenous Dog	F	NA	NA
ChineseIndigenousDog05	Chinese Indigenous Dog	M	NA	NA
ChineseIndigenousDog06	Chinese Indigenous Dog	M	NA	NA
ChineseIndigenousDog07	Chinese Indigenous Dog	F	NA	NA
ChineseIndigenousDog08	Chinese Indigenous Dog	M	NA	NA
ChineseIndigenousDog09	Chinese Indigenous Dog	M	NA	NA
ChineseIndigenousDog10	Chinese Indigenous Dog	F	NA	NA
ChineseIndigenousDog11	Chinese Indigenous Dog	F	NA	NA
ChineseIndigenousDog12	Chinese Indigenous Dog	M	NA	NA
ChineseIndigenousDog13	Chinese Indigenous Dog	F	NA	NA
ChineseIndigenousDog14	Chinese Indigenous Dog	M	NA	NA
ChineseIndigenousDog15	Chinese Indigenous Dog	M	NA	NA
NGSDOG024	Chinese Shar-Pei	M	1	1
NGSDOG025	Chinese Shar-Pei	M	1	1
Chinook01	Chinook	F	NA	2
ChongqingDog01	Chongqing Dog	M	NA	NA
ChowChow01	Chow Chow	F	NA	NA
ChowChow02	Chow Chow	F	1	NA
ChowChow03	Chow Chow	M	NA	NA
CW011	Chow Chow	F	1	NA
ClumberSpaniel01	Clumber Spaniel	M	2	2
CockerSpanielAmerican01	Cocker Spaniel (American)	F	NA	NA
CockerSpanielAmerican02	Cocker Spaniel (American)	M	NA	NA
CockerSpanielAmerican03	Cocker Spaniel (American)	M	NA	NA
CockerSpanielAmerican04	Cocker Spaniel (American)	F	NA	NA
CockerSpanielAmerican05	Cocker Spaniel (American)	F	NA	NA
CockerSpanielAmerican06	Cocker Spaniel (American)	M	NA	NA
Coyote01	Coyote	M	NA	NA
Coyote02	Coyote	M	NA	NA
Coyote03	Coyote	M	NA	NA
CR039	Curly-Coated Retriever	F	1	1
CFA.107835	Dachshund	M	1	1
CFA.109668	Dachshund	M	1	1
Dachshund01	Dachshund	M	NA	NA
DH0117	Dachshund	M	NA	NA
DH126	Dachshund	F	1	1
DAL162K1	Dalmatian	M	2	NA
Dalmatian01	Dalmatian	F	2	NA
Dhole01	Dhole	F	NA	NA
Dingo01	Dingo	M	NA	NA
DO242	Doberman Pinscher	F	1	1
Doberman01	Doberman Pinscher	F	1	1
Doberman02	Doberman Pinscher	M	1	1
Doberman03	Doberman Pinscher	F	NA	NA
Doberman04	Doberman Pinscher	M	NA	NA
EastSiberianLaika01	East Siberian Laika	F	NA	NA
Elo01	Elo	M	NA	NA
CP003	English Cocker Spaniel	M	NA	NA
CockerSpanielEnglish01	English Cocker Spaniel	M	NA	NA
CockerSpanielEnglish02	English Cocker Spaniel	M	NA	NA
CockerSpanielEnglish03	English Cocker Spaniel	F	NA	NA
CockerSpanielEnglish04	English Cocker Spaniel	M	NA	NA
CockerSpanielEnglish05	English Cocker Spaniel	F	NA	NA
CFA.105990	English Setter	F	NA	2
CFA.117996	English Setter	M	NA	2
EnglishSetter01	English Setter	M	NA	2
EnglishSpringerSpaniel01	English Springer Spaniel	M	2	2
EnglishSpringerSpaniel03	English Springer Spaniel	M	2	2
EntlebucherSennenhund01	Entlebucher Sennenhund	M	NA	NA
EntlebucherSennenhund02	Entlebucher Sennenhund	M	NA	NA
